emg,ecg,,,,,
113,535,,0.437735029,,-0.02831077,43.77350288
-327,504,,0.603715453,,-0.026621845,60.37154532
-683,512,,0.784744703,,-0.019710084,78.47447033
-713,524,,0.747481646,,-0.00979049,74.74816461
-566,488,,0.848700711,,-0.003040659,84.87007112
-295,500,,0.96404543,,0.005401889,96.40454304
8,479,,0.839925173,,0.018989693,83.99251726
200,503,,0.608085232,,0.025978312,60.80852316
334,496,,0.452894646,,0.022628426,45.28946461
460,516,,0.402767636,,0.017228388,40.27676358
530,498,,0.011547765,,0.010750039,1.154776543
499,511,,0.361592525,,0.002034512,36.15925249
304,506,,0.410639121,,-0.002500183,41.06391212
47,492,,0.85181276,,0.000665505,85.18127604
-21,532,,0.695740154,,0.003732085,69.57401544
-86,498,,0.790093281,,0.000973668,79.00932807
-151,504,,0.062871617,,0.000344108,6.287161737
-104,519,,0.624459139,,0.007423574,62.44591389
-140,525,,0.718837008,,0.010887323,71.88370081
-162,525,,0.110899556,,0.001047182,11.08995557
-32,506,,0.576152601,,-0.010147432,57.61526013
72,520,,0.341093969,,-0.01156844,34.10939687
35,489,,0.754433947,,-0.009552706,75.44339472
42,497,,0.444252372,,-0.007250245,44.4252372
18,476,,0.162539833,,-0.002908067,16.25398327
25,500,,0.079775312,,0.003005959,7.977531236
-37,540,,0.937526082,,0.010831326,93.75260816
47,509,,0.163130921,,0.017838301,16.31309206
120,516,,0.838174522,,0.021733101,83.81745223
18,696,,0.116752303,,0.023774415,11.67523033
66,727,,0.341266383,,0.022256564,34.12663832
-61,484,,0.43673614,,0.016463165,43.67361402
-162,406,,0.095898012,,0.011608833,9.589801161
-63,483,,0.718255207,,0.010198498,71.82552071
49,453,,0.466326508,,0.009134611,46.63265077
15,463,,0.540662582,,0.007866934,54.06625821
-29,531,,0.499546695,,0.007484558,49.95466948
-27,491,,0.863393432,,0.0081426,86.33934319
39,509,,0.341910796,,0.009959171,34.19107962
161,496,,0.355224237,,0.010387033,35.52242374
74,504,,0.085301159,,0.009614455,8.530115942
-101,515,,0.767424598,,0.010072043,76.74245975
-163,518,,0.925726383,,0.009877896,92.57263827
-159,563,,0.955089249,,0.009952015,95.50892485
-139,560,,0.389423256,,0.012234501,38.94232556
-89,538,,0.932049261,,0.015875761,93.20492606
-101,535,,0.902939822,,0.022846153,90.29398219
-187,560,,0.989427585,,0.029326149,98.94275849
-288,519,,0.01544891,,0.025788823,1.544891015
-151,510,,0.455645953,,0.015739582,45.56459528
-101,497,,0.712153161,,0.009424692,71.21531613
-111,501,,0.027282616,,0.004958014,2.728261551
123,509,,0.051928185,,-0.003806986,5.19281853
281,506,,0.207760717,,-0.014752081,20.77607174
281,504,,0.235944533,,-0.021514161,23.59445332
204,515,,0.330414403,,-0.02163503,33.04144035
39,520,,0.074418318,,-0.016685194,7.44183176
-298,523,,0.608953717,,-0.010545837,60.89537168
-571,527,,0.961946354,,-0.00837811,96.19463542
-531,489,,0.88139668,,-0.010999992,88.13966803
-371,517,,0.977718042,,-0.013502216,97.77180416
-175,499,,0.377788615,,-0.013202097,37.7788615
69,500,,0.085373603,,-0.01185541,8.537360253
211,518,,0.434983241,,-0.009288253,43.49832408
275,507,,0.29326526,,-0.00449606,29.32652597
303,512,,0.897455381,,0.00030848,89.74553813
328,503,,0.008483434,,0.002583943,0.848343425
346,503,,0.989078789,,0.003797547,98.90787888
240,536,,0.860426157,,0.005484761,86.04261568
6.529884537,518,,0.229074161,,0.006529885,22.90741608
7.525209076,512,,0.4712362,,0.007525209,47.12361996
,,,,,0.006604819,
